Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
1610612741,21601146,2017-04-02,CHI @ NOP,W,38.0,39.0,0.494,240,45,92,0.489,13,26,0.5,14,18,0.778,9,40,49,26,7,6,11,23,117,1.0,326.0,26.0,4.727,50.0,42.0,0.61,0.5,12.5384615385,
1610612741,21601138,2017-04-01,CHI vs. ATL,W,37.0,39.0,0.487,240,40,85,0.471,12,30,0.4,14,14,1.0,6,34,40,25,6,4,12,17,106,2.0,299.0,26.0,4.563,43.0,42.0,0.56976744186,0.511904761905,11.96,
1610612741,21601122,2017-03-30,CHI vs. CLE,W,36.0,39.0,0.48,240,38,90,0.422,12,25,0.48,11,18,0.611,15,36,51,26,11,3,12,15,99,4.0,326.0,20.0,3.055,47.0,43.0,0.5,0.476744186047,12.5384615385,
1610612741,21601090,2017-03-26,CHI @ MIL,W,35.0,39.0,0.473,240,46,85,0.541,10,21,0.476,7,10,0.7,10,39,49,33,4,2,14,16,109,2.0,306.0,31.0,4.546,42.0,43.0,0.666666666667,0.53488372093,9.27272727273,
1610612741,21601077,2017-03-24,CHI vs. PHI,L,34.0,39.0,0.466,240,37,91,0.407,10,24,0.417,23,31,0.742,15,24,39,22,9,5,14,15,107,2.0,280.0,22.0,3.29,44.0,47.0,0.659090909091,0.276595744681,12.7272727273,
1610612741,21601061,2017-03-22,CHI vs. DET,W,34.0,38.0,0.472,240,47,80,0.588,11,23,0.478,12,19,0.632,7,29,36,36,12,2,11,20,117,1.0,353.0,30.0,5.517,40.0,40.0,0.65,0.6625,9.80555555556,
1610612741,21601051,2017-03-21,CHI @ TOR,L,33.0,38.0,0.465,265,42,90,0.467,14,37,0.378,22,27,0.815,9,30,39,25,9,10,14,24,120,3.0,334.0,24.0,3.929,47.0,43.0,0.574468085106,0.511627906977,13.36,
1610612741,21601032,2017-03-18,CHI vs. UTA,W,33.0,37.0,0.471,240,38,80,0.475,7,19,0.368,12,14,0.857,7,32,39,24,7,9,10,18,95,1.0,266.0,29.0,6.087,36.0,43.0,0.541666666667,0.511627906977,11.0833333333,
1610612741,21601021,2017-03-17,CHI @ WAS,L,32.0,37.0,0.464,240,44,88,0.5,7,27,0.259,12,18,0.667,15,37,52,28,5,6,18,19,107,2.0,291.0,30.0,6.167,39.0,49.0,0.576923076923,0.510204081633,10.3928571429,
1610612741,21601009,2017-03-15,CHI vs. MEM,L,32.0,36.0,0.471,240,34,91,0.374,11,28,0.393,12,15,0.8,14,31,45,22,6,6,5,19,91,2.0,298.0,16.0,2.137,48.0,43.0,0.541666666667,0.313953488372,13.5454545455,
1610612741,21600991,2017-03-13,CHI @ CHA,W,32.0,35.0,0.478,240,41,91,0.451,14,40,0.35,19,22,0.864,11,38,49,29,6,5,10,20,115,1.0,338.0,25.0,6.515,52.0,39.0,0.557692307692,0.487179487179,11.6551724138,
1610612741,21600985,2017-03-12,CHI @ BOS,L,31.0,35.0,0.47,240,33,87,0.379,7,25,0.28,7,9,0.778,12,28,40,18,13,3,17,10,80,2.0,345.0,22.0,5.179,45.0,42.0,0.488888888889,0.345238095238,19.1666666667,
1610612741,21600966,2017-03-10,CHI vs. HOU,L,31.0,34.0,0.477,240,38,98,0.388,9,39,0.231,9,12,0.75,11,38,49,24,9,6,18,21,94,2.0,377.0,25.0,5.905,45.0,53.0,0.433333333333,0.433962264151,15.7083333333,
1610612741,21600949,2017-03-08,CHI @ ORL,L,31.0,33.0,0.484,240,36,81,0.444,12,28,0.429,7,11,0.636,9,35,44,24,3,4,16,16,91,2.0,298.0,22.0,3.528,34.0,47.0,0.617647058824,0.446808510638,12.4166666667,
1610612741,21600938,2017-03-06,CHI @ DET,L,31.0,32.0,0.492,240,34,83,0.41,8,28,0.286,19,21,0.905,7,30,37,21,3,5,10,20,95,2.0,305.0,22.0,3.604,32.0,51.0,0.375,0.509803921569,14.5238095238,
1610612741,21600922,2017-03-04,CHI vs. LAC,L,31.0,31.0,0.5,240,35,83,0.422,6,17,0.353,15,20,0.75,14,31,45,26,11,0,19,24,91,2.0,280.0,26.0,4.649,36.0,46.0,0.555555555556,0.391304347826,10.7692307692,
1610612741,21600906,2017-03-02,CHI vs. GSW,W,31.0,30.0,0.508,240,36,82,0.439,5,19,0.263,17,21,0.81,7,42,49,19,9,5,15,15,94,2.0,284.0,26.0,5.718,34.0,48.0,0.352941176471,0.552083333333,14.9473684211,
1610612741,21600891,2017-02-28,CHI vs. DEN,,,,,0,6,13,0.462,2,3,0.667,0,0,0.0,0,2,2,6,3,0,1,1,14,3.0,311.0,30.0,6.178,34.0,62.0,0.676470588235,0.41935483871,51.8333333333,
1610612741,21600871,2017-02-25,CHI @ CLE,W,30.0,29.0,0.508,240,46,93,0.495,15,30,0.5,10,16,0.625,10,37,47,34,6,0,7,13,117,1.0,291.0,30.0,6.003,57.0,36.0,0.605263157895,0.527777777778,8.55882352941,1.0
1610612741,21600859,2017-02-24,CHI vs. PHX,W,29.0,29.0,0.5,265,46,98,0.469,12,26,0.462,24,31,0.774,11,35,46,31,15,4,12,21,128,8.0,308.0,28.0,5.022,44.0,52.0,0.590909090909,0.461538461538,9.93548387097,1.0
1610612741,21600849,2017-02-16,CHI vs. BOS,W,28.0,29.0,0.491,240,38,90,0.422,6,25,0.24,22,22,1.0,15,36,51,23,2,6,7,13,104,2.0,287.0,25.0,5.447,47.0,43.0,0.393617021277,0.523255813953,12.4782608696,1.0
1610612741,21600831,2017-02-14,CHI vs. TOR,W,27.0,29.0,0.482,240,35,73,0.479,7,17,0.412,28,35,0.8,7,30,37,22,8,5,17,23,105,2.0,319.0,22.0,4.675,29.0,44.0,0.568965517241,0.5,14.5,1.0
