Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
1610612760,21601142,2017-04-02,OKC vs. CHA,L,43.0,33.0,0.566,240,39,84,0.464,12,31,0.387,11,12,0.917,7,35,42,19,10,5,24,20,101,2.0,257.0,25.0,5.631,25.0,59.0,0.38,0.601694915254,13.5263157895,
1610612760,21601135,2017-03-31,OKC vs. SAS,L,43.0,32.0,0.573,240,33,81,0.407,6,21,0.286,23,27,0.852,13,33,46,21,7,3,18,21,95,2.0,228.0,25.0,4.767,35.0,46.0,0.485714285714,0.413043478261,10.8571428571,
1610612760,21601112,2017-03-29,OKC @ ORL,W,43.0,31.0,0.581,265,43,102,0.422,10,33,0.303,18,28,0.643,11,46,57,18,11,7,11,20,114,2.0,251.0,26.0,5.062,40.0,62.0,0.4625,0.475806451613,13.9444444444,
1610612760,21601100,2017-03-27,OKC @ DAL,W,42.0,31.0,0.575,240,37,85,0.435,6,23,0.261,12,14,0.857,11,37,48,17,10,7,17,21,92,1.0,248.0,25.0,4.2,39.0,46.0,0.423076923077,0.510869565217,14.5882352941,
1610612760,21601091,2017-03-26,OKC @ HOU,L,41.0,31.0,0.569,240,47,94,0.5,11,30,0.367,20,28,0.714,16,26,42,27,15,3,16,21,125,4.0,276.0,30.0,4.669,48.0,46.0,0.625,0.489130434783,10.2222222222,
1610612760,21601062,2017-03-22,OKC vs. PHI,W,41.0,30.0,0.577,240,48,88,0.545,4,16,0.25,22,30,0.733,18,36,54,26,7,8,16,17,122,2.0,269.0,38.0,8.47,28.0,60.0,0.535714285714,0.583333333333,10.3461538462,
1610612760,21601049,2017-03-20,OKC vs. GSW,L,40.0,30.0,0.571,240,37,87,0.425,4,21,0.19,17,31,0.548,12,28,40,18,10,2,11,19,95,2.0,291.0,29.0,6.645,32.0,55.0,0.328125,0.518181818182,16.1666666667,
1610612760,21601028,2017-03-18,OKC vs. SAC,W,40.0,29.0,0.58,240,41,82,0.5,10,26,0.385,18,25,0.72,13,36,49,23,7,4,14,21,110,2.0,289.0,26.0,3.797,42.0,40.0,0.559523809524,0.5625,12.5652173913,
1610612760,21601015,2017-03-16,OKC @ TOR,W,39.0,29.0,0.574,240,47,88,0.534,14,25,0.56,15,19,0.789,10,37,47,33,10,1,18,22,123,2.0,270.0,29.0,5.674,41.0,47.0,0.743902439024,0.5,8.18181818182,
1610612760,21601000,2017-03-14,OKC @ BKN,W,38.0,29.0,0.567,240,44,87,0.506,10,22,0.455,24,34,0.706,13,31,44,30,13,6,15,27,122,3.0,257.0,30.0,4.236,44.0,43.0,0.636363636364,0.488372093023,8.56666666667,
