Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
,1610612748,21601149,2017-04-02,MIA vs. DEN,L,37,40,0.481,240,42,86,0.488,13,26,0.5,16,21,0.762,7,34,41,26,3,9,11,22,113,2.0,309.0,22.0,5.319,40.0,46.0,0.6125,0.521739130435,11.8846153846,
,1610612748,21601133,2017-03-31,MIA vs. NYK,L,37,39,0.487,240,34,83,0.41,8,33,0.242,18,25,0.72,11,30,41,17,5,4,13,17,94,2.0,279.0,22.0,4.394,45.0,38.0,0.466666666667,0.447368421053,16.4117647059,
,1610612748,21601115,2017-03-29,MIA @ NYK,W,37,38,0.493,240,40,84,0.476,12,25,0.48,13,17,0.765,8,32,40,18,11,7,10,23,105,1.0,274.0,25.0,4.048,37.0,47.0,0.662162162162,0.457446808511,15.2222222222,
,1610612748,21601107,2017-03-28,MIA @ DET,W,36,38,0.486,240,36,79,0.456,5,21,0.238,20,28,0.714,11,33,44,18,5,4,12,18,97,2.0,295.0,26.0,4.526,29.0,50.0,0.465517241379,0.5,16.3888888889,
,1610612748,21601093,2017-03-26,MIA @ BOS,L,35,38,0.479,240,41,91,0.451,7,29,0.241,19,24,0.792,16,24,40,19,9,5,15,22,108,3.0,335.0,28.0,5.375,38.0,53.0,0.473684210526,0.5,17.6315789474,
,1610612748,21601068,2017-03-23,MIA vs. TOR,L,35,37,0.486,240,32,82,0.39,6,23,0.261,14,23,0.609,10,26,36,20,8,11,16,23,84,2.0,251.0,22.0,3.61,31.0,51.0,0.403225806452,0.441176470588,12.55,
,1610612748,21601053,2017-03-21,MIA vs. PHX,W,35,36,0.493,240,42,96,0.438,11,27,0.407,17,23,0.739,17,32,49,17,13,5,14,25,112,2.0,277.0,22.0,3.038,46.0,50.0,0.565217391304,0.43,16.2941176471,
,1610612748,21601041,2017-03-19,MIA vs. POR,L,34,36,0.486,240,41,89,0.461,9,31,0.29,13,20,0.65,13,26,39,18,8,8,9,22,104,2.0,301.0,26.0,5.399,42.0,47.0,0.511904761905,0.510638297872,16.7222222222,
,1610612748,21601025,2017-03-17,MIA vs. MIN,W,34,35,0.493,240,50,85,0.588,8,26,0.308,15,19,0.789,10,30,40,29,6,9,15,16,123,2.0,299.0,38.0,6.896,43.0,42.0,0.616279069767,0.654761904762,10.3103448276,
,1610612748,21601007,2017-03-15,MIA vs. NOP,W,33,35,0.485,240,44,87,0.506,16,35,0.457,16,19,0.842,12,33,45,23,9,3,15,22,120,3.0,274.0,22.0,5.139,37.0,50.0,0.621621621622,0.58,11.9130434783,
,1610612748,21600987,2017-03-12,MIA @ IND,L,32,35,0.478,240,39,94,0.415,9,32,0.281,11,16,0.688,19,35,54,18,4,4,8,22,98,1.0,312.0,24.0,5.039,38.0,56.0,0.447368421053,0.473214285714,17.3333333333,
,1610612748,21600979,2017-03-11,MIA vs. TOR,W,32,34,0.485,240,35,72,0.486,11,28,0.393,23,33,0.697,3,32,35,21,8,10,12,19,104,3.0,294.0,22.0,5.472,39.0,33.0,0.564102564103,0.560606060606,14.0,
,1610612748,21600951,2017-03-08,MIA vs. CHA,W,31,34,0.477,240,37,85,0.435,17,41,0.415,17,24,0.708,13,33,46,22,8,7,12,18,108,2.0,315.0,14.0,3.01,34.0,51.0,0.602941176471,0.490196078431,14.3181818182,
