Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
1610612743,21601149,2017-04-02,DEN @ MIA,W,36.0,40.0,0.474,240,44,87,0.506,5,20,0.25,23,27,0.852,6,33,39,25,10,6,8,14,116,2.0,261.0,33.0,4.555,30.0,57.0,0.45,0.578947368421,10.44,
1610612743,21601127,2017-03-31,DEN @ CHA,L,35.0,40.0,0.467,240,45,90,0.5,16,33,0.485,8,11,0.727,10,39,49,32,4,1,13,19,114,3.0,323.0,23.0,3.371,32.0,58.0,0.4375,0.672413793103,10.09375,
1610612743,21601109,2017-03-28,DEN @ POR,L,35.0,39.0,0.473,240,44,95,0.463,9,30,0.3,16,20,0.8,13,34,47,23,3,6,11,24,113,2.0,296.0,29.0,4.68,43.0,52.0,0.395348837209,0.605769230769,12.8695652174,
1610612743,21601095,2017-03-26,DEN vs. NOP,L,35.0,38.0,0.479,240,36,95,0.379,6,25,0.24,12,14,0.857,8,41,49,21,3,1,10,13,90,2.0,277.0,28.0,5.384,46.0,49.0,0.45652173913,0.367346938776,13.1904761905,
1610612743,21601075,2017-03-24,DEN @ IND,W,35.0,37.0,0.486,240,39,82,0.476,7,27,0.259,40,43,0.93,11,35,46,23,8,4,13,15,125,2.0,307.0,27.0,5.138,34.0,48.0,0.5,0.53125,13.347826087,
1610612743,21601064,2017-03-22,DEN vs. CLE,W,34.0,37.0,0.479,240,51,96,0.531,11,26,0.423,13,13,1.0,10,34,44,35,7,1,6,16,126,2.0,305.0,37.0,6.143,45.0,51.0,0.644444444444,0.539215686275,8.71428571429,
1610612743,21601048,2017-03-20,DEN @ HOU,L,33.0,37.0,0.471,240,44,86,0.512,12,29,0.414,24,26,0.923,8,40,48,26,7,3,19,18,124,2.0,291.0,26.0,3.577,36.0,50.0,0.541666666667,0.61,11.1923076923,
1610612743,21601034,2017-03-18,DEN vs. HOU,L,33.0,36.0,0.478,240,38,89,0.427,10,31,0.323,19,30,0.633,13,32,45,28,9,6,13,24,105,2.0,324.0,22.0,2.927,45.0,44.0,0.5,0.465909090909,11.5714285714,
1610612743,21601018,2017-03-16,DEN vs. LAC,W,33.0,35.0,0.485,240,46,86,0.535,15,28,0.536,22,26,0.846,11,37,48,31,7,3,10,14,129,3.0,293.0,24.0,3.915,36.0,50.0,0.694444444444,0.57,9.45161290323,
1610612743,21600998,2017-03-13,DEN vs. LAL,W,32.0,35.0,0.478,240,45,84,0.536,17,38,0.447,22,25,0.88,6,36,42,36,9,7,15,18,129,2.0,306.0,25.0,7.724,49.0,35.0,0.632653061224,0.642857142857,8.5,
1610612743,21600984,2017-03-11,DEN @ SAC,W,31.0,35.0,0.47,240,40,85,0.471,9,34,0.265,16,18,0.889,9,35,44,21,8,8,9,16,105,1.0,263.0,25.0,5.416,50.0,35.0,0.53,0.514285714286,12.5238095238,
1610612743,21600970,2017-03-10,DEN vs. BOS,W,30.0,35.0,0.462,240,45,85,0.529,12,31,0.387,17,22,0.773,11,38,49,24,11,4,18,18,119,2.0,265.0,24.0,4.133,38.0,47.0,0.631578947368,0.574468085106,11.0416666667,
1610612743,21600958,2017-03-08,DEN vs. WAS,L,29.0,35.0,0.453,240,46,87,0.529,13,28,0.464,8,17,0.471,10,29,39,31,6,2,16,16,113,2.0,141.0,16.0,5.566,21.0,23.0,0.47619047619,0.673913043478,4.54838709677,
1610612743,21600943,2017-03-06,DEN vs. SAC,W,29.0,34.0,0.46,240,37,75,0.493,13,30,0.433,21,28,0.75,8,33,41,28,11,2,17,18,108,2.0,277.0,19.0,4.1,40.0,34.0,0.5875,0.558823529412,9.89285714286,
1610612743,21600923,2017-03-04,DEN vs. CHA,L,28.0,34.0,0.452,240,36,80,0.45,9,30,0.3,21,25,0.84,11,34,45,21,5,3,13,20,102,3.0,294.0,21.0,4.405,26.0,54.0,0.365384615385,0.574074074074,14.0,
1610612743,21600899,2017-03-01,DEN @ MIL,W,28.0,33.0,0.459,240,41,84,0.488,10,33,0.303,18,20,0.9,14,31,45,21,8,3,14,15,110,1.0,322.0,24.0,5.692,35.0,49.0,0.7,0.438775510204,15.3333333333,
1610612743,21600891,2017-02-28,DEN @ CHI,,,,,0,9,15,0.6,1,5,0.2,1,1,1.0,0,10,10,6,1,2,4,2,20,2.0,286.0,28.0,6.382,48.0,32.0,0.708333333333,0.546875,47.6666666667,
1610612743,21600876,2017-02-26,DEN vs. MEM,L,26.0,33.0,0.441,240,37,84,0.44,11,34,0.324,13,17,0.765,10,29,39,26,9,3,12,23,98,2.0,296.0,23.0,4.297,38.0,46.0,0.565789473684,0.45652173913,11.3846153846,0.0
1610612743,21600864,2017-02-24,DEN vs. BKN,W,26.0,32.0,0.448,240,49,97,0.505,14,31,0.452,17,24,0.708,11,40,51,32,11,2,13,24,129,1.0,300.0,27.0,4.212,44.0,53.0,0.704545454545,0.471698113208,9.375,1.0
1610612743,21600855,2017-02-23,DEN @ SAC,L,25.0,32.0,0.439,240,39,88,0.443,12,35,0.343,10,14,0.714,9,33,42,23,10,2,15,18,100,8.0,289.0,26.0,4.599,43.0,45.0,0.581395348837,0.444444444444,12.5652173913,0.0
1610612743,21600842,2017-02-15,DEN vs. MIN,L,25.0,31.0,0.446,240,38,94,0.404,11,34,0.324,12,18,0.667,14,35,49,25,4,6,14,19,99,2.0,298.0,24.0,2.821,53.0,41.0,0.518867924528,0.390243902439,11.92,0.0
1610612743,21600827,2017-02-13,DEN vs. GSW,W,25.0,30.0,0.455,240,48,88,0.545,24,40,0.6,12,16,0.75,14,38,52,34,6,2,22,14,132,2.0,294.0,17.0,2.279,46.0,42.0,0.79347826087,0.559523809524,8.64705882353,1.0
1610612743,21600811,2017-02-11,DEN @ CLE,L,24.0,30.0,0.444,240,39,97,0.402,12,37,0.324,19,22,0.864,17,28,45,23,8,4,12,22,109,1.0,316.0,22.0,3.766,50.0,47.0,0.59,0.329787234043,13.7391304348,0.0
1610612743,21600800,2017-02-10,DEN @ NYK,W,24.0,29.0,0.453,240,54,95,0.568,16,32,0.5,7,10,0.7,16,28,44,30,6,5,15,11,131,2.0,337.0,32.0,5.49,49.0,46.0,0.775510204082,0.521739130435,11.2333333333,1.0
1610612743,21600785,2017-02-08,DEN @ ATL,L,23.0,29.0,0.442,240,40,100,0.4,13,44,0.295,13,21,0.619,21,28,49,25,8,4,10,20,106,2.0,320.0,20.0,5.264,44.0,56.0,0.5,0.4375,12.8,0.0
