Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
1610612754,21601150,2017-04-02,IND @ CLE,L,37,40,0.481,290,48,105,0.457,16,41,0.39,18,20,0.9,12,34,46,32,6,3,9,24,130,2.0,313.0,27.0,4.51,50.0,55.0,0.43,0.627272727273,9.78125,
1610612754,21601126,2017-03-31,IND @ TOR,L,37,39,0.487,240,36,87,0.414,11,26,0.423,17,21,0.81,12,30,42,19,7,4,13,21,100,2.0,264.0,19.0,3.011,41.0,46.0,0.463414634146,0.489130434783,13.8947368421,
1610612754,21601116,2017-03-29,IND @ MEM,L,37,38,0.493,240,37,85,0.435,10,25,0.4,13,15,0.867,12,31,43,19,5,7,12,18,97,1.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,15.8421052632,
1610612754,21601104,2017-03-28,IND vs. MIN,L,37,37,0.5,240,40,81,0.494,5,18,0.278,29,35,0.829,12,25,37,25,9,4,14,22,114,2.0,291.0,29.0,4.072,31.0,50.0,0.467741935484,0.56,11.64,
1610612754,21601092,2017-03-26,IND vs. PHI,W,37,36,0.507,240,38,89,0.427,7,17,0.412,24,29,0.828,12,39,51,16,9,4,9,13,107,2.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,18.8125,
1610612754,21601075,2017-03-24,IND vs. DEN,L,36,36,0.5,240,48,95,0.505,13,24,0.542,8,11,0.727,11,28,39,19,9,8,12,29,117,2.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,15.8421052632,
1610612754,21601060,2017-03-22,IND @ BOS,L,36,35,0.507,240,38,87,0.437,11,28,0.393,13,19,0.684,18,27,45,20,13,6,13,19,100,2.0,320.0,23.0,4.384,42.0,45.0,0.452380952381,0.544444444444,16.0,
1610612754,21601046,2017-03-20,IND vs. UTA,W,36,34,0.514,240,38,87,0.437,10,20,0.5,21,23,0.913,10,33,43,21,9,9,7,19,107,1.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,14.3333333333,
1610612754,21601040,2017-03-19,IND @ TOR,L,35,34,0.507,240,33,80,0.413,6,23,0.261,19,26,0.731,9,24,33,22,7,3,13,23,91,4.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,13.6818181818,
1610612754,21601005,2017-03-15,IND vs. CHA,W,35,33,0.515,240,39,73,0.534,12,28,0.429,8,9,0.889,3,39,42,26,8,6,14,15,98,1.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,11.5769230769,
1610612754,21601001,2017-03-14,IND @ NYK,L,34,33,0.507,240,32,87,0.368,8,29,0.276,9,15,0.6,14,39,53,16,6,3,16,14,81,2.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,18.8125,
1610612754,21600987,2017-03-12,IND vs. MIA,W,34,32,0.515,240,35,82,0.427,5,15,0.333,27,32,0.844,11,35,46,12,2,4,9,15,102,2.0,249.0,23.0,3.435,25.0,57.0,0.46,0.456140350877,20.75,
1610612754,21600967,2017-03-10,IND @ MIL,L,33,32,0.508,240,33,74,0.446,2,18,0.111,17,22,0.773,8,28,36,15,14,3,18,24,85,2.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,20.0666666667,
1610612754,21600956,2017-03-08,IND vs. DET,W,33,31,0.516,240,44,88,0.5,11,23,0.478,16,19,0.842,9,37,46,27,3,2,5,18,115,2.0,316.0,31.0,5.2,25.0,63.0,0.62,0.539682539683,11.7037037037,
1610612754,21600941,2017-03-06,IND @ CHA,L,32,31,0.508,240,37,81,0.457,12,30,0.4,2,3,0.667,6,35,41,29,3,5,15,17,88,1.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,10.3793103448,
1610612754,21600927,2017-03-05,IND @ ATL,W,32,30,0.516,240,35,78,0.449,15,33,0.455,12,21,0.571,9,35,44,24,6,4,15,22,97,4.0,301.0,24.0,4.275,47.0,44.0,0.553191489362,0.488636363636,12.5416666667,
1610612754,21600902,2017-03-01,IND @ SAS,L,31,30,0.508,240,37,81,0.457,7,24,0.292,18,25,0.72,13,28,41,22,13,1,17,26,99,2.0,267.0,26.0,5.605,33.0,48.0,0.363636363636,0.59375,12.1363636364,
1610612754,21600886,2017-02-27,IND @ HOU,W,31,29,0.517,240,41,91,0.451,13,30,0.433,22,25,0.88,13,42,55,29,7,4,15,26,117,2.0,,,,,,,,,1.0
1610612754,21600869,2017-02-25,IND @ MIA,L,30,29,0.508,240,34,85,0.4,4,12,0.333,23,26,0.885,13,30,43,21,8,4,15,24,95,1.0,303.0,30.0,4.261,31.0,54.0,0.548387096774,0.351851851852,14.4285714286,0.0
1610612754,21600857,2017-02-24,IND vs. MEM,W,30,28,0.517,240,40,78,0.513,11,26,0.423,11,11,1.0,8,42,50,23,8,7,16,19,102,8.0,276.0,24.0,5.659,42.0,36.0,0.702380952381,0.444444444444,12.0,1.0
1610612754,21600848,2017-02-16,IND vs. WAS,L,29,28,0.509,240,40,81,0.494,4,18,0.222,14,18,0.778,5,30,35,21,7,1,10,12,98,1.0,306.0,34.0,4.958,36.0,45.0,0.472222222222,0.555555555556,14.5714285714,0.0
1610612754,21600835,2017-02-15,IND @ CLE,L,29,27,0.518,240,40,86,0.465,12,24,0.5,12,14,0.857,13,30,43,30,2,1,11,17,104,2.0,280.0,25.0,4.138,45.0,41.0,0.622222222222,0.439024390244,9.33333333333,0.0
1610612754,21600825,2017-02-13,IND vs. SAS,L,29,26,0.527,240,38,78,0.487,9,20,0.45,21,30,0.7,6,31,37,21,8,3,11,23,106,2.0,268.0,26.0,4.989,32.0,45.0,0.71875,0.411111111111,12.7619047619,0.0
1610612754,21600809,2017-02-11,IND vs. MIL,L,29,25,0.537,240,35,73,0.479,10,22,0.455,20,24,0.833,8,28,36,19,2,6,14,25,100,1.0,305.0,23.0,4.167,30.0,43.0,0.616666666667,0.5,16.0526315789,0.0
1610612754,21600805,2017-02-10,IND @ WAS,L,29,24,0.547,240,45,92,0.489,4,21,0.19,13,15,0.867,10,32,42,29,3,5,11,22,107,2.0,279.0,36.0,4.541,43.0,49.0,0.53488372093,0.489795918367,9.62068965517,0.0
1610612754,21600783,2017-02-08,IND vs. CLE,L,29,23,0.558,240,41,82,0.5,13,25,0.52,22,26,0.846,7,31,38,24,7,2,12,18,117,2.0,249.0,25.0,4.561,47.0,35.0,0.659574468085,0.471428571429,10.375,0.0
1610612754,21600770,2017-02-06,IND vs. OKC,W,29,22,0.569,240,33,87,0.379,8,26,0.308,19,29,0.655,13,24,37,19,7,9,10,17,93,2.0,287.0,22.0,3.898,42.0,45.0,0.464285714286,0.388888888889,15.1052631579,1.0
1610612754,21600757,2017-02-04,IND vs. DET,W,28,22,0.56,240,44,91,0.484,7,24,0.292,10,15,0.667,7,34,41,22,11,4,6,17,105,1.0,306.0,33.0,4.932,36.0,55.0,0.597222222222,0.472727272727,13.9090909091,1.0
1610612754,21600747,2017-02-03,IND @ BKN,W,27,22,0.551,240,37,86,0.43,8,20,0.4,24,31,0.774,12,37,49,20,11,10,14,19,106,2.0,270.0,26.0,5.681,28.0,58.0,0.571428571429,0.431034482759,13.5,1.0
1610612754,21600730,2017-02-01,IND @ ORL,W,26,22,0.542,240,33,69,0.478,9,20,0.45,23,26,0.885,5,33,38,25,5,1,17,23,98,3.0,311.0,22.0,4.471,29.0,40.0,0.620689655172,0.4875,12.44,1.0
1610612754,21600713,2017-01-29,IND vs. HOU,W,25,22,0.532,240,47,87,0.54,5,21,0.238,21,26,0.808,7,35,42,28,9,7,10,21,120,2.0,296.0,40.0,6.22,33.0,54.0,0.484848484848,0.62037037037,10.5714285714,1.0
