Unnamed: 0,Unnamed: 0.1,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
,,1610612739,21601150,2017-04-02,CLE vs. IND,W,49,27,0.645,290,47,95,0.495,18,43,0.419,23,33,0.697,15,41,56,29,7,4,13,19,135,2.0,341.0,20.0,3.238,44.0,51.0,0.715909090909,0.480392156863,11.7586206897,
,,1610612739,21601128,2017-03-31,CLE vs. PHI,W,48,27,0.64,240,50,95,0.526,13,29,0.448,9,16,0.563,13,36,49,30,8,4,8,16,122,1.0,270.0,33.0,5.105,49.0,46.0,0.622448979592,0.565217391304,9.0,
,,1610612739,21601122,2017-03-30,CLE @ CHI,L,47,27,0.635,240,37,83,0.446,10,27,0.37,9,16,0.563,9,35,44,23,6,5,15,22,93,3.0,271.0,24.0,4.477,36.0,47.0,0.5,0.510638297872,11.7826086957,
,,1610612739,21601099,2017-03-27,CLE @ SAS,L,47,26,0.644,240,31,83,0.373,4,26,0.154,8,13,0.615,9,31,40,20,8,2,16,20,74,2.0,288.0,24.0,4.497,38.0,44.0,0.368421052632,0.431818181818,14.4,
,,1610612739,21601083,2017-03-25,CLE vs. WAS,L,47,25,0.653,240,41,83,0.494,12,33,0.364,21,27,0.778,11,21,32,24,6,6,13,18,115,1.0,281.0,25.0,4.721,43.0,40.0,0.581395348837,0.55,11.7083333333,
,,1610612739,21601073,2017-03-24,CLE @ CHA,W,47,24,0.662,240,41,74,0.554,9,25,0.36,21,24,0.875,3,35,38,26,6,5,12,22,112,2.0,259.0,31.0,5.966,36.0,38.0,0.625,0.605263157895,9.96153846154,
,,1610612739,21601064,2017-03-22,CLE @ DEN,L,46,24,0.657,240,43,85,0.506,15,37,0.405,12,14,0.857,7,31,38,22,4,4,10,12,113,3.0,247.0,23.0,7.273,56.0,29.0,0.616071428571,0.551724137931,11.2272727273,
,,1610612739,21601043,2017-03-19,CLE @ LAL,W,46,23,0.667,240,45,85,0.529,13,36,0.361,22,27,0.815,10,34,44,19,4,2,10,16,125,1.0,278.0,27.0,5.106,36.0,49.0,0.555555555556,0.642857142857,14.6315789474,
,,1610612739,21601031,2017-03-18,CLE @ LAC,L,45,23,0.662,240,32,83,0.386,5,27,0.185,9,13,0.692,4,36,40,15,5,0,12,24,78,2.0,292.0,21.0,4.817,42.0,41.0,0.369047619048,0.463414634146,19.4666666667,
,,1610612739,21601014,2017-03-16,CLE vs. UTA,W,45,22,0.672,240,36,86,0.419,9,33,0.273,10,19,0.526,11,41,52,14,6,2,10,12,91,2.0,255.0,21.0,4.271,50.0,36.0,0.4,0.569444444444,18.2142857143,
,,1610612739,21600999,2017-03-14,CLE vs. DET,W,44,22,0.667,240,46,77,0.597,19,30,0.633,17,23,0.739,3,38,41,29,4,3,9,18,128,2.0,292.0,25.0,4.917,41.0,36.0,0.719512195122,0.722222222222,10.0689655172,
,,1610612739,21600989,2017-03-12,CLE @ HOU,L,43,22,0.662,240,42,80,0.525,17,43,0.395,11,13,0.846,4,34,38,24,3,6,15,23,112,1.0,281.0,22.0,6.167,58.0,22.0,0.629310344828,0.636363636364,11.7083333333,
,,1610612739,21600977,2017-03-11,CLE @ ORL,W,43,21,0.672,240,43,86,0.5,15,39,0.385,15,25,0.6,9,42,51,30,2,5,9,18,116,2.0,305.0,27.0,6.29,43.0,43.0,0.604651162791,0.56976744186,10.1666666667,
,,1610612739,21600960,2017-03-09,CLE @ DET,L,42,21,0.667,240,39,84,0.464,11,39,0.282,12,19,0.632,8,33,41,24,5,0,9,17,101,3.0,302.0,26.0,5.734,40.0,44.0,0.4625,0.590909090909,12.5833333333,
,,1610612739,21600936,2017-03-06,CLE vs. MIA,L,42,20,0.677,240,35,78,0.449,9,27,0.333,19,29,0.655,11,41,52,15,3,6,17,15,98,2.0,227.0,23.0,4.747,31.0,47.0,0.564516129032,0.468085106383,15.1333333333,
,,1610612739,21600921,2017-03-04,CLE @ MIA,L,42,19,0.689,240,35,73,0.479,11,27,0.407,11,18,0.611,8,25,33,20,4,1,15,16,92,1.0,286.0,24.0,4.789,25.0,48.0,0.54,0.5625,14.3,
,,1610612739,21600913,2017-03-03,CLE @ ATL,W,42,18,0.7,240,47,86,0.547,25,46,0.543,16,20,0.8,5,28,33,31,7,5,14,24,135,2.0,302.0,19.0,3.929,51.0,35.0,0.813725490196,0.514285714286,9.74193548387,
,,1610612739,21600901,2017-03-01,CLE @ BOS,L,41,18,0.695,240,37,91,0.407,10,33,0.303,15,22,0.682,12,29,41,20,3,5,10,21,99,2.0,288.0,23.0,5.025,40.0,51.0,0.5,0.43137254902,14.4,
,,1610612739,21600884,2017-02-27,CLE vs. MIL,W,41,17,0.707,240,35,70,0.5,10,27,0.37,22,26,0.846,4,41,45,20,4,2,16,11,102,2.0,257.0,23.0,4.574,37.0,33.0,0.581081081081,0.560606060606,12.85,1.0
,,1610612739,21600871,2017-02-25,CLE vs. CHI,L,40,17,0.702,240,37,80,0.463,14,37,0.378,11,15,0.733,4,36,40,24,5,3,12,17,99,2.0,251.0,19.0,4.874,41.0,39.0,0.573170731707,0.525641025641,10.4583333333,0.0
,,1610612739,21600853,2017-02-23,CLE vs. NYK,W,40,16,0.714,240,46,87,0.529,15,38,0.395,12,15,0.8,8,37,45,29,5,10,12,16,119,8.0,263.0,25.0,6.152,45.0,42.0,0.611111111111,0.619047619048,9.06896551724,1.0
0.0,,1610612739,21600835,2017-02-15,CLE vs. IND,W,39,16,0.709,240,39,82,0.476,18,39,0.462,17,19,0.895,9,31,40,23,6,2,8,19,113,1.0,272.0,18.0,3.747,41.0,41.0,0.560975609756,0.609756097561,11.8260869565,1.0
1.0,,1610612739,21600832,2017-02-14,CLE @ MIN,W,38,16,0.704,240,44,86,0.512,13,39,0.333,15,22,0.682,9,34,43,27,3,4,10,18,116,3.0,253.0,24.0,4.633,50.0,36.0,0.63,0.527777777778,9.37037037037,1.0
2.0,0.0,1610612739,21600811,2017-02-11,CLE vs. DEN,W,37,16,0.698,240,46,84,0.548,15,30,0.5,18,22,0.818,8,37,45,30,9,4,15,16,125,2.0,288.0,27.0,5.777,47.0,37.0,0.691489361702,0.567567567568,9.6,1.0
3.0,1.0,1610612739,21600796,2017-02-09,CLE @ OKC,L,36,16,0.692,240,38,79,0.481,10,21,0.476,23,30,0.767,5,30,35,14,9,6,16,14,109,1.0,278.0,22.0,3.35,30.0,49.0,0.5,0.571428571429,19.8571428571,0.0
4.0,2.0,1610612739,21600783,2017-02-08,CLE @ IND,W,36,15,0.706,240,46,84,0.548,16,36,0.444,24,26,0.923,5,34,39,24,7,5,9,16,132,2.0,282.0,27.0,4.787,50.0,34.0,0.69,0.573529411765,11.75,1.0
