Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
1610612751,21601148,2017-04-02,BKN vs. ATL,W,18,59,0.234,240,32,82,0.39,10,33,0.303,17,20,0.85,8,43,51,21,11,7,19,22,91,1.0,294.0,20.0,4.929,42.0,36.0,0.559523809524,0.375,14.0,
1610612751,21601139,2017-04-01,BKN vs. ORL,W,17,59,0.224,240,50,94,0.532,8,31,0.258,13,16,0.813,9,35,44,26,8,5,11,15,121,2.0,281.0,35.0,7.247,48.0,46.0,0.479166666667,0.673913043478,10.8076923077,
1610612751,21601121,2017-03-30,BKN @ DET,L,16,59,0.213,240,35,92,0.38,10,31,0.323,9,12,0.75,8,38,46,17,4,4,12,16,89,2.0,301.0,20.0,3.528,41.0,51.0,0.451219512195,0.421568627451,17.7058823529,
1610612751,21601105,2017-03-28,BKN vs. PHI,L,16,58,0.216,240,38,94,0.404,9,32,0.281,16,24,0.667,13,37,50,22,11,5,13,19,101,2.0,258.0,22.0,5.459,46.0,43.0,0.380434782609,0.581395348837,11.7272727273,
1610612751,21601088,2017-03-26,BKN @ ATL,W,16,57,0.219,240,38,86,0.442,6,22,0.273,25,30,0.833,12,38,50,21,13,7,17,25,107,2.0,222.0,27.0,5.801,28.0,54.0,0.339285714286,0.537037037037,10.5714285714,
1610612751,21601072,2017-03-24,BKN @ WAS,L,15,57,0.208,240,43,82,0.524,3,15,0.2,19,26,0.731,6,32,38,24,5,4,14,22,108,1.0,268.0,36.0,7.214,27.0,52.0,0.537037037037,0.576923076923,11.1666666667,
1610612751,21601067,2017-03-23,BKN vs. PHX,W,15,56,0.211,240,43,95,0.453,8,29,0.276,32,42,0.762,17,44,61,25,11,5,17,26,126,2.0,260.0,19.0,5.654,42.0,45.0,0.416666666667,0.577777777778,10.4,
1610612751,21601052,2017-03-21,BKN vs. DET,W,14,56,0.2,240,38,88,0.432,10,29,0.345,12,19,0.632,11,35,46,22,1,6,10,13,98,2.0,294.0,21.0,3.797,35.0,49.0,0.514285714286,0.459183673469,13.3636363636,
1610612751,21601036,2017-03-19,BKN vs. DAL,L,13,56,0.188,240,31,72,0.431,13,31,0.419,29,38,0.763,9,32,41,16,2,1,15,22,104,2.0,242.0,15.0,4.15,36.0,31.0,0.527777777778,0.5,15.125,
1610612751,21601022,2017-03-17,BKN vs. BOS,L,13,55,0.191,240,30,83,0.361,11,35,0.314,24,30,0.8,6,35,41,23,7,7,10,25,95,1.0,196.0,14.0,3.05,36.0,36.0,0.513888888889,0.361111111111,8.52173913043,
1610612751,21601016,2017-03-16,BKN @ NYK,W,13,54,0.194,240,41,85,0.482,10,31,0.323,29,35,0.829,12,38,50,19,5,2,13,23,121,2.0,236.0,23.0,4.004,35.0,44.0,0.428571428571,0.625,12.4210526316,
1610612751,21601000,2017-03-14,BKN vs. OKC,L,12,54,0.182,240,33,71,0.465,12,24,0.5,26,30,0.867,4,26,30,20,8,4,18,23,104,2.0,275.0,18.0,4.091,31.0,36.0,0.774193548387,0.416666666667,13.75,
1610612751,21600986,2017-03-12,BKN vs. NYK,W,12,53,0.185,240,40,87,0.46,19,38,0.5,21,29,0.724,13,42,55,23,7,3,12,23,120,2.0,239.0,10.0,2.21,46.0,35.0,0.619565217391,0.428571428571,10.3913043478,
1610612751,21600971,2017-03-10,BKN @ DAL,L,11,53,0.172,240,34,78,0.436,9,31,0.29,19,23,0.826,4,31,35,23,9,2,12,28,96,2.0,263.0,17.0,5.466,40.0,31.0,0.4375,0.483870967742,11.4347826087,
1610612751,21600950,2017-03-08,BKN @ ATL,L,11,52,0.175,240,37,80,0.463,11,34,0.324,20,25,0.8,5,35,40,28,7,11,22,25,105,2.0,254.0,22.0,6.017,39.0,35.0,0.589743589744,0.485714285714,9.07142857143,
