Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
,1610612750,21600940,2017-04-03,MIN vs. POR,W,31,45,0.408,240,41,83,0.494,4,9,0.444,24,28,0.857,11,32,43,26,3,5,11,18,110,2.0,260.0,34.0,4.842,21.0,62.0,0.52380952381,0.516129032258,10.0,
,1610612750,21601140,2017-04-01,MIN vs. SAC,L,30,45,0.4,240,39,87,0.448,9,25,0.36,30,38,0.789,10,31,41,27,8,4,10,23,117,2.0,293.0,28.0,3.289,39.0,48.0,0.487179487179,0.510416666667,10.8518518519,
,1610612750,21601123,2017-03-30,MIN vs. LAL,W,30,44,0.405,240,43,89,0.483,10,21,0.476,23,30,0.767,14,26,40,30,9,5,10,20,119,2.0,298.0,30.0,4.47,41.0,48.0,0.573170731707,0.510416666667,9.93333333333,
,1610612750,21601104,2017-03-28,MIN @ IND,W,29,44,0.397,240,37,77,0.481,9,20,0.45,32,37,0.865,11,24,35,22,10,9,15,22,115,3.0,288.0,24.0,4.407,34.0,43.0,0.632352941176,0.46511627907,13.0909090909,
,1610612750,21601086,2017-03-25,MIN @ POR,L,28,44,0.389,240,37,75,0.493,2,10,0.2,24,32,0.75,6,21,27,15,10,4,8,14,100,1.0,257.0,31.0,5.626,30.0,45.0,0.433333333333,0.555555555556,17.1333333333,
,1610612750,21601080,2017-03-24,MIN @ LAL,L,28,43,0.394,265,46,95,0.484,7,21,0.333,20,22,0.909,12,25,37,32,13,10,13,20,119,3.0,313.0,34.0,4.739,42.0,53.0,0.52380952381,0.518867924528,9.78125,
,1610612750,21601056,2017-03-21,MIN vs. SAS,L,28,42,0.4,240,32,72,0.444,7,15,0.467,22,25,0.88,12,27,39,20,10,2,23,24,93,2.0,261.0,19.0,3.508,29.0,43.0,0.534482758621,0.46511627907,13.05,
,1610612750,21601039,2017-03-19,MIN @ NOP,L,28,41,0.406,240,44,85,0.518,9,25,0.36,12,17,0.706,9,27,36,30,11,5,16,14,109,2.0,291.0,30.0,4.376,44.0,41.0,0.579545454545,0.560975609756,9.7,
,1610612750,21601025,2017-03-17,MIN @ MIA,L,28,40,0.412,240,41,82,0.5,2,12,0.167,21,22,0.955,9,19,28,14,6,6,11,21,105,2.0,239.0,32.0,5.042,24.0,58.0,0.5,0.51724137931,17.0714285714,
,1610612750,21601006,2017-03-15,MIN @ BOS,L,28,39,0.418,240,40,91,0.44,8,27,0.296,16,20,0.8,15,27,42,26,4,1,8,21,104,2.0,279.0,27.0,4.784,47.0,44.0,0.5,0.465909090909,10.7307692308,
,1610612750,21600995,2017-03-13,MIN vs. WAS,W,28,38,0.424,240,45,86,0.523,10,21,0.476,19,22,0.864,8,38,46,27,8,7,15,24,119,2.0,290.0,29.0,3.962,46.0,40.0,0.608695652174,0.55,10.7407407407,
,1610612750,21600978,2017-03-11,MIN @ MIL,L,27,38,0.415,240,37,81,0.457,5,13,0.385,16,21,0.762,11,27,38,21,4,4,12,22,95,1.0,257.0,30.0,4.583,32.0,49.0,0.5625,0.438775510204,12.2380952381,
,1610612750,21600968,2017-03-10,MIN vs. GSW,W,27,37,0.422,240,39,88,0.443,4,14,0.286,21,27,0.778,14,32,46,21,6,3,11,18,103,2.0,279.0,27.0,3.231,32.0,56.0,0.53125,0.428571428571,13.2857142857,
,1610612750,21600955,2017-03-08,MIN vs. LAC,W,26,37,0.413,240,42,86,0.488,5,20,0.25,18,20,0.9,14,36,50,26,10,4,12,23,107,4.0,275.0,28.0,5.648,42.0,44.0,0.511904761905,0.522727272727,10.5769230769,
,1610612750,21600925,2017-03-04,MIN @ SAS,L,25,37,0.403,265,35,89,0.393,4,16,0.25,16,22,0.727,16,39,55,24,6,3,14,20,90,3.0,279.0,27.0,3.718,41.0,48.0,0.390243902439,0.4375,11.625,
,1610612750,21600903,2017-03-01,MIN @ UTA,W,25,36,0.41,240,39,78,0.5,8,16,0.5,21,26,0.808,10,38,48,23,11,7,10,15,107,2.0,262.0,28.0,5.093,34.0,44.0,0.558823529412,0.545454545455,11.3913043478,
,1610612750,21600888,2017-02-27,MIN @ SAC,W,24,36,0.4,240,40,95,0.421,8,23,0.348,14,20,0.7,16,36,52,25,11,7,10,15,102,2.0,286.0,25.0,3.624,47.0,48.0,0.510638297872,0.416666666667,11.44,1.0
,1610612750,21600872,2017-02-25,MIN @ HOU,L,23,36,0.39,240,49,94,0.521,9,26,0.346,23,28,0.821,21,37,58,28,10,2,23,26,130,1.0,297.0,29.0,3.939,41.0,53.0,0.621951219512,0.528301886792,10.6071428571,0.0
,1610612750,21600862,2017-02-24,MIN vs. DAL,W,23,35,0.397,240,41,78,0.526,5,13,0.385,10,14,0.714,9,35,44,24,9,4,16,12,97,9.0,285.0,32.0,4.371,32.0,46.0,0.53125,0.576086956522,11.875,1.0
,1610612750,21600842,2017-02-15,MIN @ DEN,W,22,35,0.386,240,41,86,0.477,6,18,0.333,24,28,0.857,9,36,45,20,12,4,7,15,112,1.0,263.0,29.0,4.302,35.0,51.0,0.528571428571,0.5,13.15,1.0
,1610612750,21600832,2017-02-14,MIN vs. CLE,L,21,35,0.375,240,42,86,0.488,9,23,0.391,15,19,0.789,8,33,41,27,6,2,9,18,108,2.0,271.0,29.0,3.302,45.0,41.0,0.533333333333,0.548780487805,10.037037037,0.0
0.0,1610612750,21600816,2017-02-12,MIN vs. CHI,W,21,34,0.382,240,44,81,0.543,6,24,0.25,23,26,0.885,10,36,46,27,11,4,14,14,117,2.0,310.0,32.0,6.667,38.0,43.0,0.526315789474,0.627906976744,11.4814814815,1.0
1.0,1610612750,21600804,2017-02-10,MIN vs. NOP,L,20,34,0.37,240,38,82,0.463,6,27,0.222,24,32,0.75,12,22,34,22,11,0,13,21,106,2.0,275.0,27.0,4.524,44.0,38.0,0.340909090909,0.684210526316,12.5,0.0
2.0,1610612750,21600790,2017-02-08,MIN vs. TOR,W,20,33,0.377,240,39,80,0.488,7,19,0.368,27,30,0.9,11,25,36,22,8,3,8,20,112,2.0,264.0,27.0,5.081,45.0,35.0,0.466666666667,0.614285714286,12.0,1.0
3.0,1610612750,21600775,2017-02-06,MIN vs. MIA,L,19,33,0.365,240,43,80,0.538,5,11,0.455,22,28,0.786,8,26,34,25,13,1,10,15,113,2.0,268.0,36.0,4.284,27.0,53.0,0.611111111111,0.547169811321,10.72,0.0
4.0,1610612750,21600763,2017-02-04,MIN vs. MEM,L,19,32,0.373,240,35,84,0.417,10,26,0.385,19,24,0.792,16,30,46,22,4,3,12,27,99,1.0,298.0,22.0,3.401,38.0,46.0,0.407894736842,0.532608695652,13.5454545455,0.0
5.0,1610612750,21600748,2017-02-03,MIN @ DET,L,19,31,0.38,240,44,89,0.494,5,17,0.294,15,19,0.789,11,29,40,25,5,6,13,19,108,2.0,270.0,33.0,5.345,33.0,56.0,0.484848484848,0.544642857143,10.8,0.0
6.0,1610612750,21600731,2017-02-01,MIN @ CLE,L,19,30,0.388,240,41,94,0.436,7,21,0.333,8,10,0.8,12,26,38,26,7,3,13,19,97,2.0,286.0,31.0,3.457,44.0,50.0,0.488636363636,0.46,11.0,0.0
7.0,1610612750,21600720,2017-01-30,MIN vs. ORL,W,19,29,0.396,265,40,91,0.44,12,29,0.414,19,26,0.731,9,41,50,29,3,11,11,20,111,2.0,324.0,25.0,4.664,45.0,46.0,0.533333333333,0.478260869565,11.1724137931,1.0
8.0,1610612750,21600710,2017-01-28,MIN vs. BKN,W,18,29,0.383,240,47,93,0.505,9,20,0.45,26,32,0.813,13,36,49,27,8,8,11,21,129,2.0,262.0,32.0,4.896,41.0,51.0,0.548780487805,0.56862745098,9.7037037037,1.0
9.0,1610612750,21600691,2017-01-26,MIN vs. IND,L,17,29,0.37,240,36,81,0.444,10,27,0.37,21,27,0.778,6,28,34,27,13,5,11,20,103,2.0,296.0,24.0,2.783,41.0,40.0,0.524390243902,0.4875,10.962962963,0.0
10.0,1610612750,21600679,2017-01-24,MIN @ PHX,W,17,28,0.378,240,44,84,0.524,6,17,0.353,18,24,0.75,10,32,42,24,8,4,15,21,112,2.0,274.0,35.0,4.646,34.0,50.0,0.647058823529,0.5,11.4166666667,1.0
11.0,1610612750,21600664,2017-01-22,MIN vs. DEN,W,16,28,0.364,240,45,85,0.529,6,15,0.4,15,21,0.714,8,28,36,29,11,8,14,24,111,3.0,274.0,33.0,5.383,40.0,45.0,0.625,0.511111111111,9.44827586207,1.0
12.0,1610612750,21600640,2017-01-19,MIN @ LAC,W,15,28,0.349,240,40,84,0.476,5,16,0.313,19,25,0.76,13,30,43,25,3,2,13,21,104,2.0,281.0,30.0,4.031,36.0,48.0,0.472222222222,0.53125,11.24,1.0
13.0,1610612750,21600625,2017-01-17,MIN @ SAS,L,14,28,0.333,240,36,73,0.493,6,13,0.462,36,41,0.878,6,33,39,26,5,6,18,22,114,2.0,297.0,27.0,2.895,35.0,38.0,0.542857142857,0.526315789474,11.4230769231,0.0
14.0,1610612750,21600608,2017-01-15,MIN @ DAL,L,14,27,0.341,240,35,80,0.438,5,21,0.238,12,18,0.667,10,34,44,20,7,1,12,16,87,2.0,286.0,25.0,5.145,39.0,41.0,0.448717948718,0.487804878049,14.3,0.0
15.0,1610612750,21600596,2017-01-13,MIN vs. OKC,W,14,26,0.35,240,39,86,0.453,5,18,0.278,13,14,0.929,9,33,42,21,11,6,15,22,96,2.0,267.0,32.0,4.221,36.0,50.0,0.458333333333,0.5,12.7142857143,1.0
16.0,1610612750,21600582,2017-01-11,MIN vs. HOU,W,13,26,0.333,240,44,81,0.543,8,23,0.348,23,25,0.92,9,40,49,31,8,9,17,19,119,2.0,288.0,32.0,5.655,38.0,43.0,0.565789473684,0.616279069767,9.29032258065,1.0
17.0,1610612750,21600570,2017-01-09,MIN vs. DAL,W,12,26,0.316,240,40,71,0.563,6,16,0.375,15,21,0.714,9,33,42,30,11,4,18,24,101,2.0,278.0,34.0,3.727,29.0,42.0,0.603448275862,0.607142857143,9.26666666667,1.0
18.0,1610612750,21600556,2017-01-07,MIN vs. UTA,L,11,26,0.297,240,35,80,0.438,7,20,0.35,15,21,0.714,14,34,48,23,3,3,15,21,92,1.0,284.0,24.0,3.896,38.0,42.0,0.460526315789,0.5,12.347826087,0.0
19.0,1610612750,21600544,2017-01-06,MIN @ WAS,L,11,25,0.306,240,42,88,0.477,7,18,0.389,14,17,0.824,12,26,38,22,6,2,10,15,105,3.0,275.0,29.0,3.048,38.0,50.0,0.592105263158,0.46,12.5,0.0
20.0,1610612750,21600521,2017-01-03,MIN @ PHI,L,11,24,0.314,240,33,82,0.402,7,24,0.292,18,20,0.9,9,38,47,20,7,6,17,24,91,2.0,284.0,23.0,4.336,42.0,40.0,0.464285714286,0.425,14.2,0.0
21.0,1610612750,21600511,2017-01-01,MIN vs. POR,L,11,23,0.324,240,35,87,0.402,7,23,0.304,12,18,0.667,13,34,47,21,11,5,16,25,89,2.0,296.0,24.0,2.797,42.0,45.0,0.488095238095,0.4,14.0952380952,0.0
22.0,1610612750,21600497,2016-12-30,MIN vs. MIL,W,11,22,0.333,240,43,77,0.558,13,25,0.52,17,21,0.81,8,26,34,30,8,5,11,17,116,2.0,287.0,26.0,4.35,39.0,38.0,0.653846153846,0.631578947368,9.56666666667,1.0
23.0,1610612750,21600483,2016-12-28,MIN @ DEN,L,10,22,0.313,240,42,94,0.447,7,25,0.28,12,17,0.706,16,27,43,29,8,3,8,15,103,2.0,316.0,29.0,3.654,46.0,48.0,0.45652173913,0.510416666667,10.8965517241,0.0
24.0,1610612750,21600468,2016-12-26,MIN vs. ATL,W,10,21,0.323,240,37,82,0.451,15,31,0.484,15,18,0.833,11,29,40,26,11,3,14,19,104,1.0,321.0,17.0,2.737,44.0,38.0,0.715909090909,0.342105263158,12.3461538462,1.0
25.0,1610612750,21600459,2016-12-25,MIN @ OKC,L,9,21,0.3,240,39,83,0.47,4,12,0.333,18,23,0.783,11,25,36,19,11,2,12,21,100,2.0,248.0,30.0,5.601,31.0,52.0,0.612903225806,0.423076923077,13.0526315789,0.0
