eth.src,eth.dst,ip.src,ip.dst,ip.proto
00:24:01:7a:8c:c9,ff:ff:ff:ff:ff:ff,,,
64:00:6a:7b:66:52,33:33:00:01:00:02,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,61.135.248.26,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,61.135.248.26,10.134.116.85,6
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
84:5b:12:5e:36:0a,33:33:ff:c6:e5:23,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,10.134.126.60,10.134.127.255,17
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.2.9,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.2.9,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.2.9,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.2.9,6
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,10.134.126.60,10.134.127.255,17
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
